"Name","Mass","BC","Inclination","Periapsis","V(pe)","Predicted overshoot","Periapsis time","Periapsis lat","Periapsis lng","Predicted time","Predicted lat","Predicted lng","Actual time","Actual lat","Actual lng","Prediction error (km)",
"Reentry Test 44",4.91,1,29.99,29930,2413,-56.58,8908727,-25.39,7.39,8908604,-26.78,310.59,8908641,-27.58,312.21,17.3,
"Reentry Test 44",4.91,1,29.99,29937,2449,-29.76,8908821,-25.41,5.74,8908832,-29.98,336.14,8908843,-29.85,336.41,2.8,
"Reentry Test 44",4.91,1,29.99,29917,2670,-5.86,8909659,-25.41,351.74,8909790,-26.94,347.16,8909773,-26.62,346.88,4.3,
"Reentry Test 44",4.91,1,29.99,29860,3005,0.22,8913873,-25.42,281.32,8914034,-25.36,282.78,8914040,-24.95,282.7,4.4,
"Reentry Test 44",4.91,1,29.99,30004,3272,2.21,8957947,-26.94,258.76,8958118,-26.39,262.22,8958126,-25.89,262.69,6.9,
"Reentry Test 44",4.91,1,29.99,30014,3328,2.46,9241445,-26.54,204.47,9241618,-25.9,208.16,9241625,-25.33,208.77,8.3,
"Reentry Test2 1",4.91,1,29.99,29877,2600,-8.65,9243057,-24.76,137.53,9243174,-21.9,130.6,9243181,-22.1,130.03,5.9,
Reentry Test2 1,4.91,1,29.99,29654,2800,-2.47,9242944,-17.5,119.52,9243091,-16.46,118.64,9243087,-16.7,118,6.9,
Reentry Test2 1,4.91,1,29.99,29343,3000,0.17,9242894,-14,112.83,9243055,-14.08,114.21,9243051,-14.25,113.43,8.1,
Reentry Test2 2,4.91,1,29.99,30005,2800,-2.46,9245542,-16.66,213.57,9245689,-17.7,212.68,9245688,-17.18,212.42,6,
Reentry Test2 2,4.91,1,29.99,30025,3000,0.17,9245344,-25.01,194.16,9245505,-24.96,195.57,9245511,-24.47,195.73,5.3,
Reentry Test2 2,4.91,1,29.99,30029,3200,1.88,9245247,-27.76,183.95,9245416,-27.36,187.11,9245423,-26.94,187.47,5.5,
Reentry Test2 2,4.91,1,29.99,26926,3404,2.77,9245186,-28.85,178.02,9245360,-28.41,182.14,9245349,-28.72,178.49,33.7,
Reentry Test 45,4.91,1,44.99,29935,2413,-56.61,9247670,-36.69,14.51,9247547,-40.12,306.09,9247584,-41.31,308.85,25.2,
Reentry Test 45,4.91,1,44.99,29927,2417,-50.86,9247681,-36.68,14.35,9247587,-42.1,312.64,9247618,-42.78,314.66,17.1,
Reentry Test 45,4.91,1,44.99,29932,2429,-40.01,9247712,-36.68,13.82,9247672,-44.48,325.76,9247683,-44.58,326.93,8.8,
Reentry Test 45,4.91,1,44.99,29938,2449,-29.81,9247764,-36.73,12.86,9247775,-44.94,337.95,9247789,-44.75,338.47,4.4,
Reentry Test 45,4.91,1,44.99,30196,3267,2.19,9303071,-36.75,168.85,9303242,-35.69,171.94,9303251,-34.79,172.69,11.4,
Reentry Test 45,4.91,1,44.99,29762,3327,2.45,9636858,-36.75,352.66,9637031,-35.57,356.01,9637036,-34.93,356.26,7.1,
Reentry Test2 3,4.91,1,44.98,30013,2800,-2.46,9639695,22.99,219.34,9639843,24.55,218.36,9639836,23.93,218.13,6.8,
Reentry Test2 3,4.91,1,44.98,30009,2999,0.16,9639497,36.01,201.11,9639658,35.93,202.16,9639661,35.3,202.38,6.8,
Reentry Test2 3,4.91,1,44.98,30011,3198,1.87,9639401,40.67,190.11,9639570,39.97,193.11,9639572,39.41,193.6,7,
Reentry Test2 3,4.91,1,44.98,26957,3404,2.77,9639340,42.67,183.14,9639513,41.85,187.38,9639494,42.51,183.47,31.1,
Reentry Test2 3,4.91,1,44.98,26019,3605,3.48,9639295,43.74,177.92,9639473,42.93,183.18,9639452,43.64,177.98,40.3,
Reentry Test2 3,4.91,1,44.98,25086,3805,4.08,9639292,43.83,177.38,9639472,42.89,183.39,9639447,43.81,176.97,49.8,
Reentry Test2 3,4.91,1,44.98,24103,4005,4.6,9639235,44.63,171.08,9639418,43.95,177.94,9639392,44.64,170.01,59.8,
Reentry Test 46,4.91,1,59.99,29793,2413,-55.89,9665646,-31.99,39.71,9665526,-59.79,328.61,9665535,-59.76,331.38,14.6,
Reentry Test 46,4.91,1,59.99,29929,2417,-50.87,9665654,-32.31,39.3,9665560,-59.97,337.27,9665570,-59.69,340.16,15.5,
Reentry Test 46,4.91,1,59.99,29936,2429,-40.01,9665685,-32.32,38.77,9665645,-57.94,356.59,9665652,-57.41,357.73,8.5,
Reentry Test 46,4.91,1,59.99,29927,2450,-29.64,9665738,-32.39,37.83,9665750,-53.33,11.37,9665768,-52.97,11.16,4,
Reentry Test 46,4.91,1,59.99,29929,2501,-17.84,9665886,-32.39,35.36,9665957,-45.92,22.17,9665969,-45.54,21.86,4.6,
Reentry Test 46,4.91,1,59.99,29916,2602,-8.53,9666251,-32.4,29.26,9666368,-39.1,23.91,9666369,-38.98,23.36,4.7,
Reentry Test 46,4.91,1,59.99,29912,2702,-4.9,9666754,-32.4,20.84,9666890,-36.3,18.09,9666895,-35.85,17.87,5.1,
Reentry Test2 4,4.91,1,59.98,30009,2800,-2.46,9669497,-27.54,226.95,9669645,-29.56,226,9669649,-29.06,225.8,5.6,
Reentry Test2 4,4.91,1,59.98,30007,2999,0.16,9669300,-45.18,212.24,9669461,-45.07,212.82,9669470,-44.43,213.03,6.9,
Reentry Test2 4,4.91,1,59.98,30035,3198,1.87,9669203,-52.24,201.16,9669373,-51.14,203.87,9669382,-50.49,204.47,7.9,
Reentry Test2 4,4.91,1,59.98,30004,3396,2.74,9669141,-55.74,192.43,9669315,-54.41,196.81,9669323,-53.61,198.18,11.8,
Reentry Test2 4,4.91,1,59.98,30026,3595,3.45,9669097,-57.63,185.48,9669274,-56.26,191.43,9669287,-55.37,193.62,15.9,
Reentry Test2 4,4.91,1,59.98,30005,3794,4.05,9669062,-58.7,179.92,9669243,-57.4,187.26,9669257,-56.47,190.12,19,
Reentry Test2 4,4.91,1,59.98,30008,3992,4.57,9669035,-59.32,175.36,9669218,-58.14,183.91,9669234,-57.18,187.5,22.5,
Reentry Test 47,4.91,1,89.99,29926,2413,-56.57,9673664,49.62,215.4,9673541,-6.95,219.45,9673549,-6.33,219.7,7,
Reentry Test 47,4.91,1,89.99,29931,2417,-50.9,9672993,-69.31,226.59,9672898,-59.79,50.2,9672924,-60.92,50.79,12.2,
Reentry Test 47,4.91,1,89.99,29932,2429,-40.01,9673982,82.03,30.03,9673942,57.96,212.76,9673953,58.34,213.37,5.2,
Reentry Test 47,4.91,1,89.99,29949,2449,-29.79,9673241,-40.67,222.46,9673252,-70.46,224.27,9673267,-70.96,224.28,5.3,
Reentry Test 47,4.91,1,89.99,29931,2501,-17.84,9673658,6.14,215.5,9673728,-11.7,216.32,9673727,-11.93,216.81,5.6,
Reentry Test 47,4.91,1,89.99,29912,2602,-8.53,9673974,-2.34,210.22,9674091,-10.87,210.26,9674084,-11.48,210.85,8.8,
Reentry Test 47,4.91,1,89.99,29905,2702,-4.9,9674831,59.44,195.9,9674967,54.54,195.64,9674969,54.51,196.42,4.8,
Reentry Test2 5,4.91,1,89.99,30012,2800,-2.46,9678711,-77.05,225.27,9678858,-74.59,224.8,9678867,-74.56,225.94,3.2,
Reentry Test2 5,4.91,1,89.99,30016,2999,0.16,9678420,-45.66,230.08,9678581,-45.82,229.4,9678586,-46.21,230.22,7.2,
Reentry Test2 5,4.91,1,89.99,30005,3198,1.87,9678395,-41.39,230.51,9678564,-43.26,229.68,9678568,-43.72,230.53,8.1,
Reentry Test2 5,4.91,1,89.99,30040,3396,2.74,9677638,30.23,243.13,9677812,27.49,242.24,9677808,26.58,242.89,11.3,
Reentry Test2 5,4.91,1,89.99,30037,3595,3.45,9677816,14.07,240.16,9677993,10.62,239.21,9677990,9.28,239.92,15.8,
Reentry Test2 5,4.91,1,89.99,30006,3794,4.05,9677236,68.51,249.83,9677416,64.46,248.83,9677425,63.05,249.3,15,
Reentry Test2 5,4.91,1,89.99,30008,3992,4.57,9677368,56.23,247.63,9677551,51.66,246.59,9677551,49.9,247.17,18.8,
Reentry Test2 6,4.91,1,89.99,30003,2800,-2.46,9682029,-65.73,38.52,9682177,-68.19,38.06,9682185,-68.36,38.37,2.2,
Reentry Test2 6,4.91,1,89.99,30001,2999,0.38,9682519,-24.34,30.36,9682681,-23.95,29.67,9682668,-23.91,30.29,5.9,
Reentry Test2 6,4.91,1,89.99,30004,3198,2.13,9683123,30.12,20.29,9683293,32.24,19.45,9683295,32.48,20.25,7.5,
Reentry Test2 6,4.91,1,89.99,30054,3396,3.48,9683322,47.76,16.97,9683499,51.24,16.02,9683506,51.44,16.95,6.4,
Reentry Test2 6,4.91,1,89.99,30019,3595,4.58,9681772,-82.64,222.95,9681955,-87.22,222.05,9681963,-87.2,225.96,2,
Reentry Test2 6,4.91,1,89.99,30015,3794,5.52,9681378,-45.69,229.44,9681566,-51.21,228.31,9681563,-51.28,229.39,7.1,
Reentry Test2 6,4.91,1,89.99,30011,3992,6.33,9681721,-77.58,223.76,9681912,-83.91,222.62,9681919,-83.86,225.05,2.8,
